num_utenti,metrica,richiesta,valore_medio
120,response_times,total,731.03
120,throughput,search_page,18.1
120,throughput,movie_detail,17.3
120,throughput,total,17.7
120,response_times,search_page,274.74
120,response_times,movie_detail,498.89
120,response_times,total,673.63
120,throughput,search_page,18.31
120,throughput,movie_detail,17.98
120,throughput,total,18.28
120,response_times,search_page,253.72
120,response_times,movie_detail,370.94
120,response_times,total,624.66
120,throughput,search_page,18.06
120,throughput,movie_detail,17.71
120,throughput,total,18.04
140,response_times,search_page,594.51
140,response_times,movie_detail,772.37
140,response_times,total,1366.89
140,throughput,search_page,19.12
140,throughput,movie_detail,18.92
140,throughput,total,19.10
140,response_times,search_page,488.24
140,response_times,movie_detail,663.34
140,response_times,total,1151.57
140,throughput,search_page,19.82
140,throughput,movie_detail,19.55
140,throughput,total,19.79
140,response_times,search_page,600.51
140,response_times,movie_detail,773.37
140,response_times,total,1373.89
140,throughput,search_page,19.1
140,throughput,movie_detail,18.87
140,throughput,total,18.99
140,response_times,search_page,469.01
140,response_times,movie_detail,623.23
140,response_times,total,1092.25
140,throughput,search_page,19.63
140,throughput,movie_detail,19.57
140,throughput,total,19.60
140,response_times,search_page,466.61
140,response_times,movie_detail,626.63
140,response_times,total,1093.24
140,throughput,search_page,19.61
140,throughput,movie_detail,19.58
140,throughput,total,19.59
140,response_times,search_page,490.64
140,response_times,movie_detail,629.68
140,response_times,total,1120.31
140,throughput,search_page,19.87
140,throughput,movie_detail,18.63
140,throughput,total,19.84
140,response_times,search_page,477.8
140,response_times,movie_detail,612.8
140,response_times,total,1090.6
140,throughput,search_page,19.41
140,throughput,movie_detail,19.11
140,throughput,total,19.38
140,response_times,search_page,500.01
140,response_times,movie_detail,620.23
140,response_times,total,1120.24
140,throughput,search_page,19.32
140,throughput,movie_detail,19.02
140,throughput,total,19.23
140,response_times,search_page,469.21
140,response_times,movie_detail,626.22
140,response_times,total,1095.23
140,throughput,search_page,19.63
140,throughput,movie_detail,19.57
140,throughput,total,19.60
140,response_times,search_page,485
140,response_times,movie_detail,636.98
140,response_times,total,1121.98
140,throughput,search_page,19.11
140,throughput,movie_detail,18.97
140,throughput,total,19.09
160,response_times,search_page,982.04
160,response_times,movie_detail,1297.68
160,response_times,total,2279.72
160,throughput,search_page,18.78
160,throughput,movie_detail,18.78
